id_chamado,data_inicio,data_fim,id_bairro,id_territorialidade,id_logradouro,numero_logradouro,id_unidade_organizacional,nome_unidade_organizacional,id_unidade_organizacional_mae,unidade_organizacional_ouvidoria,categoria,id_tipo,tipo,id_subtipo,subtipo,status,longitude,latitude,data_alvo_finalizacao,data_alvo_diagnostico,data_real_diagnostico,tempo_prazo,prazo_unidade,prazo_tipo,dentro_prazo,situacao,tipo_situacao,justificativa_status,reclamacoes,data_particao,geometry
18516233,2023-04-01T00:34:11,,76,3,26005,500,8,RIOLUZ - Companhia Municipal de Energia e Iluminação,RIOLUZ - Companhia Municipal de Energia e Iluminação,False,Serviço,1,Iluminação Pública,6,Reparo de lâmpada apagada,Aberto,-43.3196572,-22.8231775,2023-04-05T00:34:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.3196572 -22.8231775)
18516185,2023-04-01T00:03:13,,80,3,43554,54,178,13aGC,SECONSERVA,False,Serviço,8,Pavimentação,78,"Reparo de buraco, deformação ou afundamento na pista",Aberto,-43.3178639,-22.8735091,2023-04-12T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.3178639 -22.8735091)
18516227,2023-04-01T00:25:31,,106,3,91843,515,118,COMLURB - Companhia Municipal de Limpeza Urbana,COMLURB - Companhia Municipal de Limpeza Urbana,False,Serviço,272,Limpeza,1287,Varrição de logradouro,Aberto,-43.376672,-22.8461518,2023-04-05T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.376672 -22.8461518)
18516232,2023-04-01T00:34:11,,76,3,92163,88,118,COMLURB - Companhia Municipal de Limpeza Urbana,COMLURB - Companhia Municipal de Limpeza Urbana,False,Serviço,280,Manejo Arbóreo,1319,Poda de árvore em logradouro,Aberto,-43.3347992,-22.848378600000004,,2023-04-26T00:34:00,,,D,D,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.3347992 -22.8483786)
18516223,2023-04-01T00:21:24,,74,3,23366,91,118,COMLURB - Companhia Municipal de Limpeza Urbana,COMLURB - Companhia Municipal de Limpeza Urbana,False,Serviço,281,Remoção Gratuita,1325,Remoção de entulho e bens inservíveis,Aberto,-43.3157977,-22.8432948,2023-04-18T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.3157977 -22.8432948)
18516198,2023-04-01T00:07:43,,82,3,65045,109,118,COMLURB - Companhia Municipal de Limpeza Urbana,COMLURB - Companhia Municipal de Limpeza Urbana,False,Serviço,281,Remoção Gratuita,1325,Remoção de entulho e bens inservíveis,Aberto,-43.321864,-22.881842,2023-04-18T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.321864 -22.881842)
18516187,2023-04-01T00:03:56,,66,3,15545,561,118,COMLURB - Companhia Municipal de Limpeza Urbana,COMLURB - Companhia Municipal de Limpeza Urbana,False,Serviço,281,Remoção Gratuita,1325,Remoção de entulho e bens inservíveis,Aberto,-43.2963876,-22.9088656,2023-04-18T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2963876 -22.9088656)
18516190,2023-04-01T00:04:10,,66,3,70144,791,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,782,Estacionamento Irregular,2966,Fiscalização de estacionamento irregular de veículo,Aberto,-43.2982032,-22.9027989,2023-04-01T02:04:00,,,,H,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2982032 -22.9027989)
18516252,2023-04-01T01:03:21,,66,3,19588,906,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,782,Estacionamento Irregular,2966,Fiscalização de estacionamento irregular de veículo,Em Andamento,-43.2986105,-22.9028866,2023-04-01T03:03:00,,,,H,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2986105 -22.9028866)
18516225,2023-04-01T00:21:50,,74,3,29157,552,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.3103707,-22.8459998,2023-04-08T00:21:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.3103707 -22.8459998)
18516203,2023-04-01T00:09:54,,109,3,20560,208,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.400704000000005,-22.838978,2023-04-08T00:09:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.400704 -22.838978)
18516193,2023-04-01T00:04:56,,43,3,14019,668,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.2759555,-22.8339043,2023-04-08T00:04:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2759555 -22.8339043)
18516255,2023-04-01T01:08:42,,75,3,14605,2772,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.31917,-22.8289747,2023-04-08T01:08:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.31917 -22.8289747)
18516234,2023-04-01T00:34:58,,42,3,65151,194,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.2637481,-22.8446599,2023-04-08T00:34:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2637481 -22.8446599)
18516226,2023-04-01T00:23:24,,66,3,19588,880,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,256,Postura Municipal,5232,Fiscalização de carros de som,Aberto,-43.2882233,-22.9045871,2023-04-07T00:23:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2882233 -22.9045871)
18516250,2023-04-01T01:03:20,,66,3,19588,880,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,256,Postura Municipal,5232,Fiscalização de carros de som,Em Andamento,-43.2882233,-22.9045871,2023-04-07T01:03:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2882233 -22.9045871)
18516259,2023-04-01T01:19:36,,55,3,59899,87,172,07aGC,SECONSERVA,False,Serviço,9,Drenagem e Saneamento,100,Desobstrução de bueiros,Aberto,,,2023-04-08T01:19:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,
